Identity;RemoteHostName;BatchName;FinalSyncTimestamp;LargeItemsEncountered;TotalMailboxItemCount;TotalMailboxSize;TotalPrimaryItemCount;TotalPrimarySize;TotalArchiveItemCount;TotalArchiveSize;ItemsTransferred;BytesTransferred;ArchiveItemsTransferred;ArchiveBytesTransferred;ShardItemsTransferred;ShardBytesTransferred;SyncedItemCount;OverallDuration;TotalFailedDuration;TotalInProgressDuration;TotalQueuedDuration;TotalSuspendedDuration;TotalTransientFailureDuration;TotalStalledDueToContentIndexingDuration;TotalStalledDueToMailboxLockedDuration;TotalStalledDueToMdbReplicationDuration;TotalStalledDueToReadCpu;TotalStalledDueToReadThrottle;TotalStalledDueToReadUnknown;TotalStalledDueToWriteCpu;TotalStalledDueToWriteThrottle;TotalStalledDueToWriteUnknown
User-2310;owa.psdaych.re;EXOMigration_EMEA_W45_D2_2_20241105085348;11/12/2021 02:50;0;768;72,05;764;72,02;4;0,03;1426;107,42;5;0,08;605;30,09;0;350;0;135,4;0;152,8;0;0;0;0;0;0;0;0;0;0
User-2311;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:55;0;3419;423,72;3416;423,71;3;0,01;4425;483,19;6;0,07;972;34,16;0;315;0;156;0;216,4;0;0;0;0;0;0;0;0;1;0
User-2312;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:55;0;1308;108,82;1304;108,79;4;0,02;1597;133,82;8;0,09;248;11,15;0;356,4;0;1391;0;279,2;0;0;0;0;0;0;0;0;0;0
User-2313;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:46;0;1957;148,17;1954;148,16;3;0,01;2314;183,02;7;0,08;318;17,57;0;366,4;0;1234;0;272,8;0;0;0;0;0;0;0;0;0;0
User-2314;ews-apac.psdaych.re;EXOMigration_APAC_W41_W40_DIFF_20241007092250;10/19/2021 5:45:54 PM;0;181194;63650,02;63839;17564,67;117355;46085,35;198564;67765,37;117757;47238,1;14161;1334,23;0;710;0;440;0;253,6;60;0;0;0;0;0;37;4;151;0
User-2315;owa.psdaych.re;EXOMigration_EMEA_W44_D4_2_20241101010956;11/08/2021 02:15;0;54;6,84;52;6,83;2;0,01;70;7,24;4;0,04;9;0,06;0;462;0;183,6;1;289,2;0;0;0;0;0;0;0;0;0;0
User-2316;ews-apac.psdaych.re;EXOMigration_APAC_W43_D3_20241025075825;11/11/2021 17:43;0;5038;1208,17;5035;1208,16;3;0,01;13258;1486,49;12;0,11;6653;89,86;0;1000,2;0;374,4;2;618,6;0;0;0;0;0;0;0;0;5;0
User-2317;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:12;0;11363;1372,7;11359;1372,69;4;0,02;11957;1510,94;10;0,11;546;41,59;0;372;0;1291;0;336,2;0;0;0;0;0;0;0;3;3;0
User-2318;ews-apac.psdaych.re;EXOMigration_APAC_W43_D3_20241025075825;11/11/2021 17:47;0;60971;6902,37;60966;6902,35;5;0,03;64435;7630,59;13;0,14;2304;157,56;0;1009,2;0;308,6;1;591,6;1;0;0;0;0;0;0;0;27;0
User-2319;owa.psdaych.re;EXOMigration_EMEA_W45_D1_1_20241105073010;11/11/2021 19:34;0;1119;174,4;1117;174,39;2;0,01;1142;180,62;7;0,08;6;0,09;0;325;0;92,8;0;290,6;0;0;0;0;0;0;0;0;0;0
User-2320;owa.psdaych.re;EXOMigration_EMEA_W44_D2_2_G-acc_20241102123208;11/04/2021 19:58;0;251;17,03;249;17,02;2;0,01;269;18,31;4;0,07;13;0,13;0;132,6;0;465;0;96,2;0;0;0;0;0;0;0;0;0;0
User-2321;owa.psdaych.re;EXOMigration_EMEA_W45_D4_2-G-acc_EXCL_20241105120658;11/08/2021 20:37;0;7854;1336,71;5958;678,04;1896;658,67;8224;1431,81;1898;671,38;14;0,2;0;208,8;0;781;0;153,4;0;0;0;0;0;0;0;0;0;0
User-2322;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:48;0;12474;1068,17;12472;1068,16;2;0,01;12504;1126,68;3;0,06;29;0,33;12498;1133;0;31;0;1101;0;0;0;0;0;0;0;0;0;0
User-2323;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:09;0;18;0,85;15;0,84;3;0,01;32;1,28;9;0,12;0;0;0;378,8;0;86;2;348,2;0;0;0;0;0;0;0;0;0;0
User-2324;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:17;0;16;0,79;14;0,78;2;0,01;26;1,07;5;0,08;0;0;0;395;0;130,8;0;216,6;0;0;0;0;0;0;0;0;0;0
User-2325;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:49;0;2636;422,13;2633;422,12;3;0,01;2645;440,27;4;0,06;0;0;2635;1166;0;23;0;1142;0;0;0;0;0;0;0;0;0;0
User-2326;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:12;0;42;16,38;39;16,37;3;0,01;51;16,76;5;0,06;0;0;0;379,8;0;138,4;4;295,8;0;0;0;0;0;0;0;0;0;0
User-2327;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:49;0;4801;458,31;4798;458,3;3;0,02;4806;493,39;4;0,07;4;0,08;4804;1165;0;904;0;260;0;0;0;0;0;0;0;0;0;0
User-2328;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 13:03;0;10360;809,73;10358;809,72;2;0,01;10365;873,58;3;0,06;4;0,08;10363;1180;0;35;0;1145;0;0;0;0;0;0;0;0;0;0
User-2329;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:17;0;512;65,76;508;65,75;4;0,02;521;69,28;6;0,08;0;0;0;395;0;201;0;147,4;0;0;0;0;0;0;0;0;0;0
User-2330;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:48;0;3861;464,46;3859;464,44;2;0,01;3872;501,22;3;0,07;10;0,12;3870;1164;0;25;0;1139;0;0;0;0;0;0;0;0;0;0
User-2331;ews-amer.psdaych.re;EXOMigration_AMER_W45_G-acc_EXCL_20241105122409;11/10/2021 09:18;0;3169;320,66;3166;320,63;3;0,02;3177;342,19;6;0,1;0;0;0;352,8;0;110,8;0;195,4;0;0;0;0;0;0;0;0;0;0
User-2332;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:48;0;3314;397,88;3312;397,87;2;0,01;3319;425,75;3;0,06;4;0,08;3317;1164;0;970;0;193;0;0;0;0;0;0;0;0;0;0
User-2333;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:49;0;2660;278,46;2658;278,45;2;0,01;2671;286,28;3;0,06;10;0,12;2669;1131;0;22;0;1109;0;0;0;0;0;0;0;0;0;0
User-2334;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:48;0;2327;340,93;2325;340,92;2;0,01;2346;360,33;3;0,06;18;0,22;2344;1131;0;13;0;1117;0;0;0;0;0;0;0;0;0;0
User-2335;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:49;0;7505;1445,17;7503;1445,16;2;0,01;7525;1617,41;3;0,06;9;0,11;7513;1131;0;809;0;321;0;0;0;0;0;0;0;0;0;0
User-2336;ews-amer.psdaych.re;EXOMigration_AMER_W46_W45_D1_D2_EXCL_20241111024048;11/12/2021 12:48;0;2199;203,63;1761;185,59;438;18,04;2209;223,47;439;22,11;10;0,12;2207;1130;0;10;0;1120;0;0;0;0;0;0;0;0;0;0
User-2337;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:17;0;5189;468,48;5186;468,47;3;0,01;5241;501,91;8;0,09;9;0,11;0;385,8;0;89,6;4;350,6;0;0;0;0;0;0;0;0;0;0
User-2338;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:10;0;1295;58,16;1292;58,15;3;0,01;1345;65,92;6;0,08;28;0,36;0;377,8;0;211,4;3;220,8;0;0;0;0;0;0;0;0;0;0
User-2339;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:12;0;53;9,26;49;8,92;4;0,34;65;9,8;9;0,43;0;0;0;390;0;123,4;0;279,4;0;0;0;0;0;0;0;0;0;0
User-2340;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:02;0;1731;38,52;1729;38,51;2;0,01;2218;58,69;5;0,07;9;0,11;0;392,2;0;132,2;1;195,2;0;0;0;0;0;0;0;0;0;0
User-2341;owa.psdaych.re;EXOMigration_EMEA_W43_D3_20241025101414;11/01/2021 00:04;0;75;4,86;72;4,84;3;0,01;95;5,41;6;0,09;13;0,13;0;394,2;0;106,2;1;265,2;0;0;0;0;0;0;0;0;0;0
User-2342;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:16;0;22944;3691,41;12678;1638,66;10266;2052,75;25124;4077,76;10272;2148,27;2058;208,08;0;388,4;0;106,2;0;265;0;0;0;0;0;0;0;0;0;0
